file_name,div,steel_grade,lot_no,GS,mix,mGS,TS,YS,RA,EL,min_con,max_con,avg_con,cnt_con,std_con,med_con
B-287_304LDS1 B420092100 X100 G.S=4.5.png,B,304LDS1,B420092100,4.5,X,-,595,260,80,64,2.5,27666.5,3817.75,58,5338.46186701783,2063.5
B-288_STS304J3S2 B3C0474101 X100 G.S=4 2.png,B,STS304J3S2,B3C0474101,4,X,-,485,165,55,81,1.5,129468.5,9139.68,25,25358.1304196031,2386.5
B-289_STS304S1 B410406400 X100 G.S=4.5.png,B,STS304S1,B410406400,4.5,X,-,625,260,79,66,4,13818.5,2762.1,80,2792.04332814697,1953.25
B-28_304LDS1 B3B0040801 X100 G.S=2.png,B,304LDS1,B3B0040801,2,X,-,580,255,80,73,551.5,164737,26982.7777777778,9,49350.6486668565,7624.5
B-290_STS304S1 B420153100 X100 G.S=4.5 2.png,B,STS304S1,B420153100,4.5,X,-,610,330,81,68,0.5,67969.5,12696.3888888889,18,21300.3502772161,1976
B-2_301LDS1 B410102401 X100 G.S=2 3.png,B,301LDS1,B410102401,2,X,-,575,255,81,73,280.5,55649.5,17449.4642857143,14,16634.3988807448,13024.5
B-31_304LDS1 B3C0150100 X100 G.S=4 3.png,B,304LDS1,B3C0150100,4,X,-,615,280,80,67,0,22748,4070.46428571429,56,4472.78257896854,2266.75
B-32_304LDS1 B3C0150100 X100 G.S=4 4.png,B,304LDS1,B3C0150100,4,X,-,615,280,80,67,13.5,15494.5,3506.8046875,64,3822.53722657763,1977
B-33_304LDS1 B3C0150100 X100 G.S=5.png,B,304LDS1,B3C0150100,5,X,-,615,280,80,67,33,204063,21388.9090909091,11,57894.2920572479,1086
B-34_304LDS1 B3C0150200 X100 G.S=4 1.png,B,304LDS1,B3C0150200,4,X,-,615,265,80,67,31,97301,12121.5,19,22123.6210691317,1870.5
B-35_304LDS1 B3C0150200 X100 G.S=4 2.png,B,304LDS1,B3C0150200,4,X,-,615,265,80,67,13.5,28925.5,5492.98780487805,41,7831.66258357841,2442
B-36_304LDS1 B3C0150200 X100 G.S=4 3.png,B,304LDS1,B3C0150200,4,X,-,615,265,80,67,28,155158,19202.5833333333,12,42757.2766744803,1471
B-37_304LDS1 B3C0150200 X100 G.S=4 4.png,B,304LDS1,B3C0150200,4,X,-,615,265,80,67,53.5,101026.5,12797.0833333333,18,23171.3017235221,2826.5
B-38_304LDS1 B3C0150200 X100 G.S=4 5.png,B,304LDS1,B3C0150200,4,X,-,615,265,80,67,4.5,17290.5,4374.39423076923,52,3529.61588307879,4050
B-39_304LDS1 B3C0162500 X100 G.S=3 2.png,B,304LDS1,B3C0162500,3,X,-,580,270,80,69,587,31714,11365.5238095238,21,9747.36261945494,8166
B-3_301LDS1 B410102401 X100 G.S=2 4.png,B,301LDS1,B410102401,2,X,-,575,255,81,73,979,84688,27058.8333333333,9,28853.8711720128,10255.5
B-40_304LDS1 B3C0162500 X100 G.S=3 3.png,B,304LDS1,B3C0162500,3,X,-,580,270,80,69,0,34986.5,6992.36764705882,34,7825.25915781033,4589.25
B-41_304LDS1 B3C0162500 X100 G.S=3 4.png,B,304LDS1,B3C0162500,3,X,-,580,270,80,69,0,56212.5,5940.6375,40,9772.05164422209,3117.75
B-42_304LDS1 B3C0162500 X100 G.S=3 5.png,B,304LDS1,B3C0162500,3,X,-,580,270,80,69,766,25584,10295.5652173913,23,7075.07176996068,8693
B-43_304LDS1 B3C0162500 X100 G.S=3 6.png,B,304LDS1,B3C0162500,3,X,-,580,270,80,69,40.5,65715.5,14636.15625,16,21006.6004141546,5368
B-44_304LDS1 B3C0162500 X100 G.S=3.png,B,304LDS1,B3C0162500,3,X,-,580,270,80,69,0,27859,6608.88888888889,36,7068.87439777672,4810.75
B-45_304LDS1 B3C0376100 X100 G.S=2.5 2.png,B,304LDS1,B3C0376100,2.5,X,-,580,255,81,72,1310.5,71575,24126.3,10,20941.8446790153,19469.75
B-46_STS304J3S2 B3C0474405 X100 G.S=4 3.png,B,STS304J3S2,B3C0474405,4,X,-,485,175,51,83,134.5,36844,5586.21794871795,39,7490.41485602225,2505
B-48_STS304S1 B410406400 X100 G.S=4.5 5.png,B,STS304S1,B410406400,4.5,X,-,625,260,79,66,0,18847,2331.34042553191,94,2903.62426611835,1591.5
B-49_304LDS1 B3C0376100 X100 G.S=2.5 4.png,B,304LDS1,B3C0376100,2.5,X,-,580,255,81,72,121.5,93836.5,22320.3636363636,11,28130.1414129617,6930.5
B-4_304LDS1 B3A0374000 X100 G.S=5 3.png,B,304LDS1,B3A0374000,5,X,-,605,320,79,64,0,24578.5,3955.69298245614,57,4490.55775631021,2795.5
B-50_304LDS1 B3C0376100 X100 G.S=2.5 5.png,B,304LDS1,B3C0376100,2.5,X,-,580,255,81,72,717.5,35288.5,18457.4230769231,13,10927.4274628396,15648
B-51_304LDS1 B3C0376100 X100 G.S=2.5.png,B,304LDS1,B3C0376100,2.5,X,-,580,255,81,72,294,63760.5,20231.9583333333,12,17905.3196511753,13502
B-52_304LDS1 B41029601 G.S=2.5.png,B,304LDS1,B41029601,2.5,X,-,,,,,1639.5,112842,24045.9,10,31771.1543068551,13067.25
B-53_304LDS1 B340219702 X100 G.S=4.5 2.png,B,304LDS1,B340219702,4.5,X,-,605,265,79,68,11,132430,18143.8076923077,13,36128.5717481216,2479.5
B-54_STS304S1 B410145100 X100 G.S=3.5 5.png,B,STS304S1,B410145100,3.5,X,-,620,295,78,69,202,43550.5,12844.3611111111,18,14344.5600226915,6034
B-55_STS304J3S2 B3C0484200 X100 G.S=5 5.png,B,STS304J3S2,B3C0484200,5,X,-,535,195,60,82,0,9265,1589.01893939394,132,1925.39120425279,832
B-57_STS304J3S2 B3C0484200 X100 G.S=5 3.png,B,STS304J3S2,B3C0484200,5,X,-,535,195,60,82,0,11635.5,1915.33928571429,112,2320.34714653237,1014.25
B-58_#2.5-2_304LDS1 B370095700 X100 G.S=2.5 5.png,B,304LDS1,B370095700,2.5,X,-,575,240,78,71,110,151982,21659.4545454545,11,42039.157656585,6344
B-59_#3.0 240719_B_STS304CUS B410068707 X100 G.S=4 2.png,B,STS304CUS,B410068707,4,X,-,470,165,46,82,0,67992,3445.25833333333,60,9685.18367769883,770.75
B-5_304LDS1 B3A0374000 X100 G.S=5 4.png,B,304LDS1,B3A0374000,5,X,-,605,320,79,64,0,10873,2534.83333333333,87,2674.33639922976,1482
B-60_#6.0_STS304CUMS4 B410541801 X100 G.S=8&5.png,B,STS304CUMS4,B410541801,8,O,5,485,170,48,81,0,39382,2321.62790697674,86,5483.01637892381,813.75
B-61_STS304J3S2 B3C0474101 X100 G.S=4 5.png,B,STS304J3S2,B3C0474101,4,X,-,485,165,55,81,0,11441.5,848.986842105263,228,1524.01188142978,275.25
B-62_STS304J3S2 B3C0474405 X100 G.S=4.png,B,STS304J3S2,B3C0474405,4,X,-,485,175,51,83,5,12725,2085.71844660194,103,2548.28027739964,1209.5
B-63_STS304S1 B410145100 X100 G.S=3.5 4.png,B,STS304S1,B410145100,3.5,X,-,620,295,78,69,3,51935,6680.39393939394,33,10895.961770556,2653
B-64_STS304J3S2 B3C0474405 X100 G.S=4 6.png,B,STS304J3S2,B3C0474405,4,X,-,485,175,51,83,111,39345.5,5268.46428571429,42,8196.99349456342,1781
B-65_STS304J3S2 B3C0474405 X100 G.S=4 5.png,B,STS304J3S2,B3C0474405,4,X,-,485,175,51,83,0,15189.5,2290.76315789474,95,2834.43032226946,1169
B-66_STS304S1 B410145100 X100 G.S=3.5 2.png,B,STS304S1,B410145100,3.5,X,-,620,295,78,69,0,34581.5,3280.97142857143,70,5263.47636676269,1362
B-67_STS304J3S2 B3C0474405 X100 G.S=4 2.png,B,STS304J3S2,B3C0474405,4,X,-,485,175,51,83,0,25432,2924.74025974026,77,4384.28679624814,1463.5
B-69_STS304J3S2 B3C0474101 X100 G.S=4 6.png,B,STS304J3S2,B3C0474101,4,X,-,485,165,55,81,0,11551.5,1645.68992248062,129,2232.68351259596,605
B-6_304LDS1 B3A0374000 X100 G.S=5 5.png,B,304LDS1,B3A0374000,5,X,-,605,320,79,64,2,11001.5,2562.37647058824,85,2439.84338082914,1635.5
B-70_STS304J3S2 B3C0474101 X100 G.S=4 4.png,B,STS304J3S2,B3C0474101,4,X,-,485,165,55,81,12.5,67370,9224.56,25,18484.7056397012,1279.5
B-71_STS304J3S2 B3C0484200 X100 G.S=5 10.png,B,STS304J3S2,B3C0484200,5,X,-,535,195,60,82,0,10820.5,1558.17777777778,135,2142.26363013231,691.5
B-72_STS304J3S2 B3C0484200 X100 G.S=5 9.png,B,STS304J3S2,B3C0484200,5,X,-,535,195,60,82,0,13261.5,1527.20437956204,137,2123.86864649678,742
B-73_STS304S1 B410406400 X100 G.S=4.5 4.png,B,STS304S1,B410406400,4.5,X,-,625,260,79,66,0,9821,2082.35096153846,104,2434.69405643925,1243.5
B-74_STS304CUS4 B420042400 X100 G.S=4.5 5.png,B,STS304CUS4,B420042400,4.5,X,-,475,165,50,83,3,68839.5,11492.25,20,17936.8973393533,2288.5
B-75_STS304J3S2 B3C0484200 X100 G.S=5 8.png,B,STS304J3S2,B3C0484200,5,X,-,535,195,60,82,0,56079.5,5565.33333333333,39,10938.5206532326,2028.5
B-76_STS304CUS4 B410547600 X100 G.S=3 4.png,B,STS304CUS4,B410547600,3,X,-,460,150,51,81,132,25608.5,4163.88181818182,55,4796.76374042829,2759
B-77_STS304CUS4 B410547600 X100 G.S=3 5.png,B,STS304CUS4,B410547600,3,X,-,460,150,51,81,0,29084.5,4530.12745098039,51,5559.3236962104,2679
B-78_STS304CUS4 B410547100 X100 G.S=3.5 5.png,B,STS304CUS4,B410547100,3.5,X,-,,,,,0.5,21269,3060.04794520548,73,3538.396511273,2026
B-79_STS304CUS4 B410547600 X100 G.S=3 3.png,B,STS304CUS4,B410547600,3,X,-,460,150,51,81,0,24048.5,4616.99,50,5033.71684095361,2836.75
B-7_304LDS1 B3A0374000 X100 G.S=5 6.png,B,304LDS1,B3A0374000,5,X,-,605,320,79,64,0,12316.5,2370.83152173913,92,2595.24099500577,1374.25
B-80_STS304CUS4 B410547100 X100 G.S=3.5 4.png,B,STS304CUS4,B410547100,3.5,X,-,,,,,0.5,16734.5,3942.41379310345,58,4377.96726285583,2305.75
B-81_STS304CUS4 B410547100 X100 G.S=3.5 2.png,B,STS304CUS4,B410547100,3.5,X,-,,,,,0,18597,3093.89726027397,73,4173.53672163572,1676
B-82_STS304CUS4 B410547100 X100 G.S=3.5 3.png,B,STS304CUS4,B410547100,3.5,X,-,,,,,0,29330.5,4285.69444444444,54,5240.3178342404,2521
B-83_STS304CUS4 B410547600 X100 G.S=3 2.png,B,STS304CUS4,B410547600,3,X,-,460,150,51,81,2,38648,4024.73684210526,57,5662.64252684983,2744
B-84_STS304CUS4 B3B0557100 X100 G.S=3.png,B,STS304CUS4,B3B0557100,3,X,-,450,155,53,82,0.5,39471.5,7048.88235294118,34,10048.5372911704,2329
B-85_STS304CUS4 B410547600 X100 G.S=3.png,B,STS304CUS4,B410547600,3,X,-,460,150,51,81,0,16171.5,4093.03571428571,56,4085.54017767141,2478.25
B-86_304LDS1 B410101700 X100 G.S=2.png,B,304LDS1,B410101700,2,X,-,570,240,80,70,763,165585,23937.2,10,47422.1330357461,8401.25
B-87_STS304S1 B410406400 X100 G.S=4.5 2.png,B,STS304S1,B410406400,4.5,X,-,625,260,79,66,0,13191.5,2474.56741573034,89,2932.34247466314,1496
B-88_STS304J3S2 B3C0484200 X100 G.S=5.png,B,STS304J3S2,B3C0484200,5,X,-,535,195,60,82,2,13674.5,1822.96581196581,117,2357.27112685364,1100.5
B-89_STS304J3S2 B3C0484200 X100 G.S=5 7.png,B,STS304J3S2,B3C0484200,5,X,-,535,195,60,82,0,10866,1607.06870229008,131,2108.8460537664,777
B-8_304LDS1 B3A0374000 X100 G.S=5.png,B,304LDS1,B3A0374000,5,X,-,605,320,79,64,0,9626.5,2182.75,100,2458.30306664984,1004.75
B-90_STS304J3S2 B3C0484200 X100 G.S=5 6.png,B,STS304J3S2,B3C0484200,5,X,-,535,195,60,82,0,12101.5,1814.51271186441,118,2354.69021178636,931.25
B-91_STS304J3S2 B3C0474101 X100 G.S=4.png,B,STS304J3S2,B3C0474101,4,X,-,485,165,55,81,10.5,155307,9187.62,25,30001.4382936152,2112.5
B-92_STS304J3S2 B3C0484200 X100 G.S=5 2.png,B,STS304J3S2,B3C0484200,5,X,-,535,195,60,82,0,14374,1920.12946428571,112,2755.67331085988,1045.25
B-93_STS304J3S2 B3C0474405 X100 G.S=4 4.png,B,STS304J3S2,B3C0474405,4,X,-,485,175,51,83,19,58728.5,7397.8,30,13484.4713687016,1106.5
B-94_STS304S1 B410406400 X100 G.S=4.5 3.png,B,STS304S1,B410406400,4.5,X,-,625,260,79,66,14,64226.5,6882.15151515152,33,13968.7600214783,1991.5
B-95_304LDS1 B410129601 X100 G.S=2.5 5.png,B,304LDS1,B410129601,2.5,X,-,590,275,81,69,503,60727,13028.4722222222,18,17579.1990538315,5754.25
B-96_STS304S1 B410406400 X100 G.S=4.5 6.png,B,STS304S1,B410406400,4.5,X,-,625,260,79,66,0,15452,2431.03333333333,90,2751.43870022778,1640.5
B-97_STS304S1 B420153100 X100 G.S=4.5.png,B,STS304S1,B420153100,4.5,X,-,610,330,81,68,0,59228,2809.1,80,6850.70408261078,1276.25
B-98_STS304S1 B420153100 X100 G.S=4.5 5.png,B,STS304S1,B420153100,4.5,X,-,610,330,81,68,4,13299,2509.94318181818,88,2850.3329385193,1231.75
B-99_STS304CUS4 B420042400 X100 G.S=4.5.png,B,STS304CUS4,B420042400,4.5,X,-,475,165,50,83,25,17688.5,2604.62352941176,85,3534.91491611216,1433.5
B-9_304LDS1 B3A0443300 X100 G.S=6 3.png,B,304LDS1,B3A0443300,6,X,-,595,295,83,65,0,13463.5,1563.84328358209,134,1977.16064923988,870.25
C-100_B410312901 S56295 304LDS1 50RB X100 GS=7 2.png,C,304LDS1,B410312901,7,X,-,640,325,79,61,0,3564,300.868571428571,525,371.679033144071,186
C-101_B410312901 S56295 304LDS1 50RB X100 GS=7 3.png,C,304LDS1,B410312901,7,X,-,640,325,79,61,0,13150.5,349.044776119403,469,703.726232234807,203.5
C-102_B410312901 S56295 304LDS1 50RB X100 GS=7 4.png,C,304LDS1,B410312901,7,X,-,640,325,79,61,0,7223,331.093175853018,381,570.189470840039,192
C-103_B410312901 S56295 304LDS1 50RB X100 GS=7.png,C,304LDS1,B410312901,7,X,-,640,325,79,61,0,3132.5,313.8955078125,512,401.525609102304,179.25
C-104_B3C0476700 N31078S 304LDSI 140RB X100 GS=5 1.png,C,304LDS1,B3C0476700,5,X,-,,,,,126,44121.5,5146.0119047619,42,7577.44722883707,2864.5
C-105_B3C0476700 N31078S 304LDSI 140RB X100 GS=5 2.png,C,304LDS1,B3C0476700,5,X,-,,,,,7.5,27793,2563.83536585366,82,4057.70015139454,1450
C-106_B3C0476700 N31078S 304LDSI 140RB X100 GS=5 3.png,C,304LDS1,B3C0476700,5,X,-,,,,,0.5,43986,4806.55555555556,45,8051.97638486782,1695
C-107_B3C0476700 N31078S 304LDSI 140RB X100 GS=5 4.png,C,304LDS1,B3C0476700,5,X,-,,,,,0,11381,1487.05395683453,139,1708.21894571894,963.5
C-108_B3C0476700 N31078S 304LDSI 140RB X100 GS=5.png,C,304LDS1,B3C0476700,5,X,-,,,,,27,62820.5,4973.74418604651,43,11187.4694014767,1402.5
C-109_B410102400 N31261  304LDS3 230RB X100 GS=4.5 1.png,C,304LDS3,B410102400,4.5,X,-,595,230,80,68,202,74217,13316.7647058824,17,17897.3038736184,6547.5
C-10_240722_C_#2.5-3_B3B0041000 N30829 304LDSI 330RB X100 GS_2.5 1.png,C,304LDSI,B3B0041000,2.5,X,-,575,245,80,71,3.5,34905,9083.82692307692,26,10974.1175165988,3478.75
C-110_B410102400 N31261  304LDS3 230RB X100 GS=4.5 2.png,C,304LDS3,B410102400,4.5,X,-,595,230,80,68,15,115411.5,14374.3125,16,28781.6382144692,4004.75
C-111_B410102400 N31261  304LDS3 230RB X100 GS=4.5 3.png,C,304LDS3,B410102400,4.5,X,-,595,230,80,68,140.5,60248,12611.8333333333,18,18512.5880243987,2967.5
C-112_B410102400 N31261  304LDS3 230RB X100 GS=4.5 4.png,C,304LDS3,B410102400,4.5,X,-,595,230,80,68,24.5,80978.5,7632.24137931035,29,15029.5236827849,2726
C-113_B410102400 N31261  304LDS3 230RB X100 GS=4.5.png,C,304LDS3,B410102400,4.5,X,-,595,230,80,68,0,19571,2619.10714285714,84,3223.28612734869,1475.5
C-114_B410111000 N31267 304LDS1 130RB X100 GS=5.5 1.png,C,304LDS1,B410111000,5.5,X,-,600,310,81,67,0,17148.5,1811.39743589744,117,2507.6200438568,1066.5
